
##Rare
Icon|Name|Rarity|Type|Max HP|Max Atk|Max Def|Passive Skill|Link Skill
[](#wc-chiaotzu1)|[Chiaotzu - Trickster](http://i.imgur.com/nVRsmWk.jpg)| R | [TEQ](/teq) | 3933 | 3220 | 2938 | Rare chance of reducing all opponents' ATK by 15% | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Master and Pupil](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Crane School](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Telekinesis](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 10%"), [Dodon Ray](/r/DBZDokkanBattle/wiki/characters "+2000 ATK when Super Attack is launched")
[](#wc-chichi1)|[Chi Chi - Earnest Passion](http://imgur.com/CvZ9xds) | R | [INT](/int) | 4581 | 3058 | 2700 | Occasionally recover 2000 HP | [All in the Family](/r/DBZDokkanBattle/wiki/characters "+2000 DEF"), [Battlefield Diva](/r/DBZDokkanBattle/wiki/characters "Ki +2")
[](#wc-chichi)|[Chi Chi - Surging Rage](http://imgur.com/g1M3aWP) | R | [STR](/str) | 3678 | 3500 | 2433 | ---- | [All in the Family](/r/DBZDokkanBattle/wiki/characters "+2000 DEF"), [Battlefield Diva](/r/DBZDokkanBattle/wiki/characters "Ki +2")
[](#wc-cui1)|[Cui - Craving of Battle](http://i.imgur.com/a80gRwM.jpg) | R | [INT](/int) | 5055 | 3116 | 2899 | Ki +1 when attacking | [Coward](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Frieza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-cymbal)|[Cymbal - Demon's Disciple](http://i.imgur.com/MfsWRHi.jpg)| R | [PHY](/phy) | 4039 | 3124 | 2813 | ATK +1500 when Ki meter is 10 or more | [Demon](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-dodoria)|[Dodoria - Obsticle Eliminator](http://i.imgur.com/Ui58LH7.png) | R | [STR](/str) | 4318 | 3774 | 2760 | ATK +1500 when Ki meter is 10 or more | [Coward](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Frieza's Army](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Frieza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-dodoria1)|[Dodoria - Storm of Destruction](http://i.imgur.com/tCNhg62.jpg) | R | [PHY](/phy) | 4977 | 3063 | 3341 | ---- | [Coward](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Frieza's Army](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Frieza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-drum)|[Drum - Terror's Descent](http://i.imgur.com/ooK295u.jpg)| R | [AGL](/agl) | 4556 | 3440 | 2140 | ATK +1500 when Ki meter is 10 or more | [Demon](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [More than Meets the Eye](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-drgero)|[Dr. Gero - Mad Scientist's Revenge](http://i.imgur.com/78lBqGK.png)| R | [TEQ](/teq) | 4536 | 3570 | 2799 | Recover 10% of damage delivered | [Android Assault](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [RR Army](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Flee](/r/DBZDokkanBattle/wiki/characters "Ki +1 when HP is 30% or below")
[](#wc-drgero1)|[Dr. Gero - Precise Action](http://i.imgur.com/M9rYBWB.jpg)| R | [INT](/int) | hp | atk | def | Occasionally recover 25% of damage delivered | [Android Assault](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [RR Army](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Flee](/r/DBZDokkanBattle/wiki/characters "Ki +1 when HP is 30% or below")
[](#wc-pilaf)|[Fusion Machine Pilaf - Unquenchable Ambition](http://i.imgur.com/8XooGh2.jpg)| R | [INT](/int) | 4865 | 3355 | 2550 | ATK +1200 when Ki meter is 5 or more | [Mechanical Menaces](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Brainiacs](/r/DBZDokkanBattle/wiki/characters "+300 ATK, +1000 DEF")
[](#wc-gohan3)|[Gohan (Kid) - Resistance of Tyranny](http://imgur.com/joLE8X2)| R | [PHY](/phy) | 4626 | 3401 | 3810 | ATK +1500 when Ki meter is 10 or more | [All in the Family](/r/DBZDokkanBattle/wiki/characters "+2000 DEF"), [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Berserker](/r/DBZDokkanBattle/wiki/characters "ATK +20% when HP is 10% or below"), [Demon](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-gohan)|[Gohan (Kid)- Slumbering Strength](http://i.imgur.com/qkDNVWE.jpg)| R | [TEQ](/teq) | 3844 | 4678 | 2419 | Rare chance of increasing allies' ATK by 25% | [All in the Family](/r/DBZDokkanBattle/wiki/characters "+2000 DEF"), [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Sibling](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-gohan4)|[Gohan (Kid) - Steely Determination](http://i.imgur.com/QtwPRYZ.jpg)| R | [INT](/int) | 5947 | 3269 | 3522 | ATK +1500 when HP is 30% or below | [All in the Family](/r/DBZDokkanBattle/wiki/characters "+2000 DEF"), [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Berserker](/r/DBZDokkanBattle/wiki/characters "ATK +20% when HP is 10% or below"), [Demon](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-goku5)|[Goku - Overflowing Resolve](http://i.imgur.com/ugSVT9s.jpg)| R | [TEQ](/teq) | 3948 | 4007 | 2920 | Rare chance of increasing ATK by 100% | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [All in the Family](/r/DBZDokkanBattle/wiki/characters "+2000 DEF"), [Best Buddies](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Strongest Duo on Earth](/r/DBZDokkanBattle/wiki/characters "ATK up 10%"), [Sibling](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-goten)|[Goten (Kid) - Fighting Prodigy](http://i.imgur.com/5cUAYeD.png) | R | [AGI](/agi) | hp | atk | def | All allies' ATK +500 | [The Innocents](/r/DBZDokkanBattle/wiki/characters "ATK +10%"), [All in the Family](/r/DBZDokkanBattle/wiki/characters "DEF +2000"), [Kamehameha](/r/DBZDokkanBattle/wiki/characters "ATK +2500 when Super Attack is launched")
[](#wc-guldo3)|[Guldo - Technician of Time](http://i.imgur.com/kMhrO9I.jpg) | R | [PHY](/phy) | 3630 | 3036 | 4465 | DEF +50% when turn begins | [The Ginyu Force](/r/DBZDokkanBattle/wiki/characters "ATK up 25%"), [Telekinesis](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 10%"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Brainiacs](/r/DBZDokkanBattle/wiki/characters "+300 ATK, +1000 DEF")
[](#wc-guldo)|[Guldo - The Timestopper](http://i.imgur.com/JAeVdFa.jpg)| R | [INT](/int) | 4990 | 3176 | 3001 | Rare chance of knocking all opponents out | [The Ginyu Force](/r/DBZDokkanBattle/wiki/characters "ATK up 25%"), [Telekinesis](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 10%"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Brainiacs](/r/DBZDokkanBattle/wiki/characters "+300 ATK, +1000 DEF")
[](#wc-guldo1)|[Guldo - Well-Played Trump Card](http://i.imgur.com/3hf2b3h.png)| R | [TEQ](/teq) | 4583 | 3151 | 3053 | DEF -50% for opponent when 3 attack in a row | [The Ginyu Force](/r/DBZDokkanBattle/wiki/characters "ATK up 25%"), [Telekinesis](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 10%"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Brainiacs](/r/DBZDokkanBattle/wiki/characters "+300 ATK, +1000 DEF")
[](#wc-hercule1)|[Hercule - Champion's Honor](http://i.imgur.com/QukPdqb.png)| R | [INT](/int) | 5204 | 3282 | 2153 | Rare chance of increasing ATK by 50% | [World Tournament Champion](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [The Hercule Family](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Hero](/r/DBZDokkanBattle/wiki/characters "Def up 20%"), [Money Money Money](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [World Tournament Reborn](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-jeice1)|[Jeice - Lesson in Fear](http://i.imgur.com/zqW4Nsv.jpg)| R | [TEQ](/teq) | 5461 | 3425 | 2907 | Reduce attacked opponent's ATK by 10% for 3 turns | [The Ginyu Force](/r/DBZDokkanBattle/wiki/characters "ATK up 25%"), [Tag Team of Terror](/r/DBZDokkanBattle/wiki/characters "+500 ATK")
[](#wc-jeice)|[Jeice - Elite Squadron's Pride](http://i.imgur.com/Ekp2hXM.jpg)| R | [STR](/str) | 4158 | 3674 | 2858 | ATK +1000 when 2nd to attack | [The Ginyu Force](/r/DBZDokkanBattle/wiki/characters "ATK up 25%"), [Tag Team of Terror](/r/DBZDokkanBattle/wiki/characters "+500 ATK")
[](#wc-krillin)|[Krillin - Competitive Comrades](http://i.imgur.com/IjlvZsH.jpg)| R | [PHY](/phy) | 4085 | 3172 | 3974 | Def +2000 when facing 1 opponent | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Turtle School](/r/DBZDokkanBattle/wiki/characters "+500 ATK, +500 DEF"), [Courage](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Best Buddies](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-krillin1)|[Krillin - Passionate Friendship](http://i.imgur.com/iArzAgN.jpg)| R | [STR](/str) | 4680 | 3597 | 2346 | Rare chance of knocking all opponents out | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Turtle School](/r/DBZDokkanBattle/wiki/characters "+500 ATK, +500 DEF"), [Courage](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Best Buddies](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-krillin2)|[Krillin - Wisdom and Experience](http://i.imgur.com/xezCV2D.jpg) | R | [AGL](/agl) | 4998 | 3772 | 3070 | DEF +1000 for all allies | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Turtle School](/r/DBZDokkanBattle/wiki/characters "+500 ATK, +500 DEF"), [Courage](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Best Buddies](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Kamehameha](/r/DBZDokkanBattle/wiki/characters "+2500 ATK when Super Attack is launched")
[](#wc-tao)|[Mercenary Tao - Living Weapon](http://imgur.com/JrGjm7G)| R | [INT](/int) | 5353 | 3231 | 2952 | Ki +1 at start of turn | [Crane School](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Coward](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-tao1)|[Mercenary Tao - Professional Tactician](https://i.imgur.com/aWJ3bsj.jpg)| R | [AGL](/agl) | 4119 | 3446 | 2385 | ATK +1500 when HP is 30% or below | [Crane School](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Crane School](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Coward](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Dodon Ray](/r/DBZDokkanBattle/wiki/characters "+2000 ATK when Super Attack is launched")
[](#wc-nail1)|[Nail - Facing Fate](http://i.imgur.com/jH5k6BN.png)| R | [INT](/int) | 5429 | 3578 | 2860 | ---- | [Namekians](/r/DBZDokkanBattle/wiki/characters "HP 5% recovery"), [Cold Judgment](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Hero](/r/DBZDokkanBattle/wiki/characters "DEF up 20%")
[](#wc-nail)|[Nail - Namek's Last Warrior](http://i.imgur.com/5ZNNudF.jpg)| R | [TEQ](/teq) | 4594 | 3348 | 3367 | Occasionally recover HP by 5% | [Namekians](/r/DBZDokkanBattle/wiki/characters "HP 5% recovery"), [Cold Judgment](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Hero](/r/DBZDokkanBattle/wiki/characters "DEF up 20%")
[](#wc-nappa)|[Nappa - Devastating Destruction](http://i.imgur.com/qkcVwS9.jpg)| R | [PHY](/phy) | hp | atk | def | Rare chance of increasing ATK by 50% | [Saiyan Warrior Race](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [New](/r/DBZDokkanBattle/wiki/characters "+200 ATK"), [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF"), [Berserker](/r/DBZDokkanBattle/wiki/characters "ATK +20% when HP is 10% or below"), [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%")
[](#wc-nappa2)|[Nappa - Sadistic Strongman](https://i.imgur.com/OxO2ZJG.png) | R | [INT](/int) | 5937 | 3575 | 2848 | [INT](/int) Type ATK +10% | [Saiyan Warrior Race](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF"), [Berserker](/r/DBZDokkanBattle/wiki/characters "ATK +20% when HP is 10% or below"), [Over 9000](/r/DBZDokkanBattle/wiki/characters "ATK + 10%")
[](#wc-nappa1)|[Nappa - Inevitable Preemptive Strike](http://i.imgur.com/2Nk03xN.jpg)| R | [STR](/str) | 4627 | 3890 | 2493 | ---- | [Saiyan Warrior Race](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF"), [New](/r/DBZDokkanBattle/wiki/characters "+200 ATK"), [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%")
[](#wc-piccolo)|[Piccolo - Aloof Warrior](http://i.imgur.com/kfTqPdy.jpg)| R | [INT](/int) | 5946 | 3136 | 3188 | Occasionally recover HP by 10% | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Prodigies](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [Demon](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Namekians](/r/DBZDokkanBattle/wiki/characters "HP 5% recovery"), [Attack of the Clones](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-piccolo1)|[Piccolo - Burdened by Destiny](http://i.imgur.com/gdGxndM.jpg)| R | [TEQ](/teq) | 5788 | 3486 | 3409 | Ki +1 at start of turn | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Brainiacs](/r/DBZDokkanBattle/wiki/characters "+300 ATK, +1000 DEF"), [Demon](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Namekians](/r/DBZDokkanBattle/wiki/characters "HP 5% recovery")
[](#wc-raditz)|[Raditz - Menacing Alien Warrior](http://i.imgur.com/xaPltmT.jpg)| R | [AGL](/agl) | 4212 | 3387 | 2720 | Damage reduced by 30% when guard is activated | [Sibling](/r/DBZDokkanBattle/wiki/characters "+ Ki"), [Saiyan Warrior Race](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [Coward](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-raditz1)|[Raditz - Space Invader](http://i.imgur.com/NmCEj07.jpg)| R | [TEQ](/teq) | 5083 | 3230 | 3191 | ATK +50% for first attack only | [Sibling](/r/DBZDokkanBattle/wiki/characters "+ Ki"), [Saiyan Warrior Race](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [Coward](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-recoome)|[Recoome - Dazzing Destruction](http://i.imgur.com/yTeKJbX.jpg)| R | [PHY](/phy) | 4788 | 3524 | 3515 | Rare chance of increasing ATK by 50% | [The Ginyu Force](/r/DBZDokkanBattle/wiki/characters "ATK up 25%"), [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF"), [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%")
[](#wc-recoome1)|[Recoome - Death Sentence](http://i.imgur.com/f2Od8Ok.jpg)| R | [STR](/str) | 4389 | 3914 | 2832 | ATK +1000 when 3rd to attack | [The Ginyu Force](/r/DBZDokkanBattle/wiki/characters "ATK up 25%"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF"), [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%")
[](#wc-shen)|[Shen - Exquisite Technique ](http://i.imgur.com/1F6ONCo.jpg)| R | [INT](/int) | 4279 | 3007 | 3205 | Deliver the final blow for ATK +25% next attack | [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%"), [Gentleman](/r/DBZDokkanBattle/wiki/characters "+2 Ki")
[](#wc-shugesh)|[Shugesh - Warrior of Ferocity](http://i.imgur.com/ErsOtBe.jpg) | R | [PHY](/phy) | 5396 | 3260 | 3437 | DEF +2000 when HP is 50% or above | [Saiyan Warrior Race](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [Team Bardock](/r/DBZDokkanBattle/wiki/characters "Ki +1"), [Saiyan Pride](/r/DBZDokkanBattle/wiki/characters "ATK +15%"), [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF")
[](#wc-spopovich1)|[Spopovich - Savagery Unleashed](http://i.imgur.com/zKXevNr.jpg)| R | [TEQ](/teq) | hp | atk | def | --- | [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF"), [Evil Autocrats](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Demon Duo](/r/DBZDokkanBattle/wiki/characters "ATK up 20%")
[](#wc-tamborine)|[Tambourine - Ghoulish Burst](http://i.imgur.com/zlggOUF.jpg)| R | [STR](/str) | 3992 | 3314 | 2579 | Deliver the final blow for ATK +25% next attack | [Demon](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK")
[](#wc-tien3)|[Tien - Lightning Onslaught](http://i.imgur.com/ponIwSR.jpg)| R | [PHY](/phy) | 4465 | 3296 | 3475 | Occasionally reduce damage recieved by 50% | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Master and Pupil](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Crane School](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Courage](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Rival Duo](/r/DBZDokkanBattle/wiki/characters "=1000 DEF on attacked opponents, +500 ATK")
[](#wc-tien2)|[Tien - Unwavering Spirit](http://i.imgur.com/NnoZhys.jpg)| R | [AGL](/agl) | 3960 | 3615 | 2763 | Rare chance of knocking all opponents out | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Master and Pupil](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Crane School](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Cold Judgment](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Rival Duo](/r/DBZDokkanBattle/wiki/characters "-1000 DEF on attacked opponent, +500 ATK")
[](#wc-tora)|[Tora - Warrior of Conviction](http://i.imgur.com/EQZUiqG.jpg) | R | [INT](/int) | 6239 | 3496 | 2871 | ATK +50% for first attack only | [Saiyan Warrior Race](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [Team Bardock](/r/DBZDokkanBattle/wiki/characters "Ki +1"), [Saiyan Pride](/r/DBZDokkanBattle/wiki/characters "ATK +15%")
